
  Vtrue,_ktas |   _Vind,_kias |   Vtrue,__mph |   _Vind,__mph |   __VVI,__fpm |   Vtotl,_ktas |   Vtotl,__mph |   _Mach,ratio |   Gload,norml |   Gload,axial |   Gload,_side |   _Qdot,_d/ss |   _Pdot,_d/ss |   _Rdot,_d/ss |   ____Q,__d/s |   ____P,__d/s |   ____R,__d/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   __alt,__ind |   __lat,south |   __lon,_west | 
    299.44257 |     233.77592 |     344.59238 |     269.02454 |    1997.00610 |     299.44257 |     344.59238 |       0.47528 |       0.98372 |       0.15641 |       0.00002 |      -0.00241 |       0.01323 |       0.00038 |      -0.01081 |       0.00014 |       0.00000 |       8.37951 |       0.14703 |     337.23734 |     342.11148 |     342.17410 |       4.87414 |      26.19976 |     -80.41737 |   17046.40430 |   17005.91992 |   17003.61328 |      25.00000 |     -82.00000 | 
    299.60529 |     233.77592 |     344.77963 |     269.02454 |    1993.10181 |     299.60529 |     344.77963 |       0.47560 |       0.98380 |       0.15625 |       0.00002 |      -0.00425 |       0.01322 |       0.00051 |      -0.01166 |       0.00014 |       0.00002 |       8.36872 |       0.14701 |     337.23737 |     342.11136 |     342.17386 |       4.87399 |      26.20104 |     -80.41797 |   17079.76367 |   17035.39844 |   17036.97461 |      25.00000 |     -82.00000 | 
    299.76788 |     233.77650 |     344.96674 |     269.02521 |    1989.24438 |     299.76788 |     344.96674 |       0.47592 |       0.98384 |       0.15608 |       0.00002 |      -0.00330 |       0.01336 |       0.00045 |      -0.01042 |       0.00013 |       0.00007 |       8.35781 |       0.14698 |     337.23737 |     342.11121 |     342.17377 |       4.87386 |      26.20232 |     -80.41856 |   17113.04102 |   17080.83398 |   17070.25977 |      25.00000 |     -82.00000 | 
    299.92981 |     233.77707 |     345.15308 |     269.02585 |    1985.45325 |     299.92981 |     345.15308 |       0.47623 |       0.98389 |       0.15592 |       0.00002 |      -0.00390 |       0.01352 |       0.00024 |      -0.01078 |       0.00015 |       0.00005 |       8.34711 |       0.14696 |     337.23743 |     342.11115 |     342.17346 |       4.87372 |      26.20360 |     -80.41916 |   17146.24219 |   17118.14258 |   17103.46289 |      25.00000 |     -82.00000 | 
    300.09146 |     233.77765 |     345.33908 |     269.02652 |    1981.68823 |     300.09143 |     345.33905 |       0.47655 |       0.98381 |       0.15574 |       0.00002 |       0.00085 |       0.01321 |       0.00035 |      -0.01138 |       0.00016 |      -0.00005 |       8.33550 |       0.14695 |     337.23737 |     342.11093 |     342.17331 |       4.87357 |      26.20487 |     -80.41975 |   17179.34766 |   17151.13672 |   17136.57422 |      25.00000 |     -82.00000 | 
    300.25299 |     233.77765 |     345.52499 |     269.02652 |    1977.82190 |     300.25299 |     345.52499 |       0.47686 |       0.98387 |       0.15557 |       0.00002 |      -0.00111 |       0.01338 |       0.00048 |      -0.01050 |       0.00016 |      -0.00003 |       8.32455 |       0.14693 |     337.23730 |     342.11075 |     342.17328 |       4.87343 |      26.20615 |     -80.42036 |   17212.35547 |   17184.13477 |   17169.58594 |      25.00000 |     -82.00000 | 
    300.41464 |     233.77765 |     345.71100 |     269.02652 |    1973.98694 |     300.41464 |     345.71100 |       0.47718 |       0.98392 |       0.15541 |       0.00002 |      -0.00408 |       0.01343 |       0.00037 |      -0.01182 |       0.00018 |       0.00001 |       8.31369 |       0.14693 |     337.23730 |     342.11060 |     342.17297 |       4.87330 |      26.20743 |     -80.42095 |   17245.32031 |   17216.41992 |   17202.55273 |      25.00000 |     -82.00000 | 
    300.57623 |     233.77823 |     345.89697 |     269.02719 |    1970.13855 |     300.57623 |     345.89697 |       0.47750 |       0.98388 |       0.15523 |       0.00002 |      -0.00015 |       0.01347 |       0.00027 |      -0.01073 |       0.00020 |       0.00002 |       8.30226 |       0.14694 |     337.23730 |     342.11047 |     342.17291 |       4.87316 |      26.20871 |     -80.42155 |   17278.20703 |   17247.76953 |   17235.44336 |      25.00000 |     -82.00000 | 
    300.73782 |     233.77823 |     346.08292 |     269.02719 |    1966.27332 |     300.73782 |     346.08292 |       0.47781 |       0.98401 |       0.15508 |       0.00002 |      -0.00661 |       0.01340 |       0.00038 |      -0.01140 |       0.00017 |      -0.00003 |       8.29186 |       0.14695 |     337.23727 |     342.11029 |     342.17252 |       4.87301 |      26.20999 |     -80.42215 |   17311.01953 |   17275.35156 |   17268.25781 |      25.00000 |     -82.00000 | 
    300.89944 |     233.77879 |     346.26892 |     269.02783 |    1962.46130 |     300.89944 |     346.26892 |       0.47813 |       0.98398 |       0.15490 |       0.00002 |      -0.00185 |       0.01344 |       0.00039 |      -0.01018 |       0.00018 |       0.00002 |       8.28067 |       0.14695 |     337.23724 |     342.11011 |     342.17249 |       4.87288 |      26.21127 |     -80.42274 |   17343.79297 |   17303.02734 |   17301.03711 |      25.00000 |     -82.00000 | 
    301.06110 |     233.77937 |     346.45493 |     269.02850 |    1958.66760 |     301.06110 |     346.45493 |       0.47845 |       0.98400 |       0.15474 |       0.00002 |       0.00045 |       0.01344 |       0.00039 |      -0.01124 |       0.00016 |       0.00004 |       8.26982 |       0.14695 |     337.23724 |     342.10999 |     342.17218 |       4.87273 |      26.21255 |     -80.42335 |   17376.48828 |   17333.18164 |   17333.73242 |      25.00000 |     -82.00000 | 
    301.22272 |     233.77937 |     346.64093 |     269.02850 |    1954.88159 |     301.22272 |     346.64093 |       0.47876 |       0.98410 |       0.15458 |       0.00002 |      -0.00682 |       0.01355 |       0.00034 |      -0.01115 |       0.00018 |      -0.00002 |       8.25933 |       0.14696 |     337.23724 |     342.10983 |     342.17184 |       4.87259 |      26.21383 |     -80.42394 |   17409.14062 |   17366.38477 |   17366.38867 |      25.00000 |     -82.00000 | 
